OBJECTID,CONSTRUCTION_VALUE,PERMIT_TYPE,PERMITS_ISSUED,YEAR
1,73758993,RESIDENTIAL,1149,1998
2,40147238,COMMERCIAL,344,1998
3,38679801,INSTITUTIONAL,114,1998
4,44431588,INDUSTRIAL,86,1998
5,2033503,MISCELLANEOUS,375,1998
6,88806885,RESIDENTIAL,1111,1999
7,30455302,COMMERCIAL,324,1999
8,11953941,INSTITUTIONAL,85,1999
9,12020342,INDUSTRIAL,90,1999
10,2431617,MISCELLANEOUS,303,1999
11,82858545,RESIDENTIAL,991,2000
12,44153551,COMMERCIAL,287,2000
13,24310287,INSTITUTIONAL,94,2000
14,72603740,INDUSTRIAL,73,2000
15,2929665,MISCELLANEOUS,198,2000
16,287621422,RESIDENTIAL,2681,2001
17,71141096,COMMERCIAL,425,2001
18,97338063,INSTITUTIONAL,98,2001
19,55240986,INDUSTRIAL,170,2001
20,3979497,MISCELLANEOUS,372,2001
21,352759590,RESIDENTIAL,3213,2002
22,107703082,COMMERCIAL,385,2002
23,150485309,INSTITUTIONAL,108,2002
24,50435054,INDUSTRIAL,128,2002
25,2951608,MISCELLANEOUS,354,2002
26,262214137,RESIDENTIAL,2760,2003
27,58914038,COMMERCIAL,325,2003
28,252615083,INSTITUTIONAL,105,2003
29,87276714,INDUSTRIAL,140,2003
30,3374797,MISCELLANEOUS,407,2003
31,380297684,RESIDENTIAL,3003,2004
32,75335634,COMMERCIAL,367,2004
33,60982261,INSTITUTIONAL,128,2004
34,74466736,INDUSTRIAL,112,2004
35,4084400,MISCELLANEOUS,384,2004
36,375133564,RESIDENTIAL,2787,2005
37,79082418,COMMERCIAL,370,2005
38,106656106,INSTITUTIONAL,85,2005
39,72466405,INDUSTRIAL,122,2005
40,7541108,MISCELLANEOUS,420,2005
41,407331942,RESIDENTIAL,3057,2006
42,108702496,COMMERCIAL,379,2006
43,85829122,INSTITUTIONAL,115,2006
44,72266757,INDUSTRIAL,188,2006
45,8417498,MISCELLANEOUS,497,2006
46,395335459,RESIDENTIAL,2737,2007
47,126391840,COMMERCIAL,425,2007
48,210207720,INSTITUTIONAL,112,2007
49,63337586,INDUSTRIAL,158,2007
50,6446743,MISCELLANEOUS,613,2007
51,415430563,RESIDENTIAL,2809,2008
52,139215985,COMMERCIAL,413,2008
53,202548954,INSTITUTIONAL,89,2008
54,53002526,INDUSTRIAL,142,2008
55,8264422,MISCELLANEOUS,432,2008
56,282169882,RESIDENTIAL,3008,2009
57,194656100,COMMERCIAL,431,2009
58,85847282,INSTITUTIONAL,137,2009
59,115039969,INDUSTRIAL,172,2009
60,14689153,MISCELLANEOUS,612,2009
61,590896451,RESIDENTIAL,5137,2010
62,163631410,COMMERCIAL,503,2010
63,188237078,INSTITUTIONAL,156,2010
64,139750335,INDUSTRIAL,157,2010
65,13783816,MISCELLANEOUS,829,2010
66,432286604,RESIDENTIAL,3373,2011
67,121830067,COMMERCIAL,602,2011
68,128372726,INSTITUTIONAL,140,2011
69,35468780,INDUSTRIAL,213,2011
70,13061110,MISCELLANEOUS,1156,2011
71,659882166,RESIDENTIAL,3302,2012
72,200894646,COMMERCIAL,603,2012
73,406642636,INSTITUTIONAL,164,2012
74,208806065,INDUSTRIAL,146,2012
75,23401881,MISCELLANEOUS,3910,2012
76,524715418,RESIDENTIAL,3112,2013
77,257251262,COMMERCIAL,688,2013
78,119004181,INSTITUTIONAL,164,2013
79,109709073,INDUSTRIAL,178,2013
80,15105824,MISCELLANEOUS,2144,2013
81,719923093,RESIDENTIAL,3379,2014
82,260825549,COMMERCIAL,588,2014
83,80488837,INSTITUTIONAL,151,2014
84,67250265,INDUSTRIAL,183,2014
85,14704961,MISCELLANEOUS,1692,2014
86,829052605,RESIDENTIAL,4142,2015
87,116647000,COMMERCIAL,685,2015
88,81609849,INSTITUTIONAL,162,2015
89,61859947,INDUSTRIAL,183,2015
90,19023446,MISCELLANEOUS,3022,2015
91,739731994,RESIDENTIAL,5835,2016
92,165871501,COMMERCIAL,599,2016
93,85221749,INSTITUTIONAL,186,2016
94,49724272,INDUSTRIAL,172,2016
95,15688230,MISCELLANEOUS,2195,2016
96,803770785,RESIDENTIAL,6053,2017
97,116251917,COMMERCIAL,628,2017
98,250696894,INSTITUTIONAL,142,2017
99,172044198,INDUSTRIAL,193,2017
100,21381624,MISCELLANEOUS,1605,2017
